equipment_name,external_id,health,available
Boiler-201,react.b_201,0.98,1
Pump-201A,react.p_201a,0.45,1
Pump-201B,react.p_201b,0.65,0
Pump-202,react.p_202,0.81,0
Compressor-101,pre.c_101,0.93,1
Reactor-201,react.r_201,0.76,1
Pump-101A,pre.p_101a,0.89,1
Pump-101B,pre.p_101b,0.78,0
Column-301,oxi.c_301,0.98,1
Column-302,oxi.c_302,0.93,1
Turbine-101A,pre.t_101a,0.57,1
Turnine-101B,pre.t_101b,0.68,0
Pump-301A,oxi.p_301a,0.72,1
Pump-301B,oxi.p_301b,0.46,0
Pump-302A,oxi.p_302a,0.18,1
Pump-302B,oxi.p_302b,0.78,1
Pump-303,oxi.p_303,0.67,0
Pump-304,oxi.p_304,0.85,1
Mixer-101,pre.mx_101,0.99,1
HeatExchanger-201,react.e_201,0.79,1
HeatExchanger-202,react.e_202,0.74,1
Compressor-301,oxi.comp_301,0.67,1
Compressor-302,oxi.comp_302,0.79,0
