Timestamp;Inlet Steam Pressure;Outlet Steam Pressure;X-axis Vibration;Y-axis Vibration;Z-axis Vibration;Bearing Temperature;Inlet Steam Flow;Outlet Steam Flow;Casing Temperature;Inlet Steam Pressure_health;Outlet Steam Pressure_health;X-axis Vibration_health;Y-axis Vibration_health;Z-axis Vibration_health;Bearing Temperature_health;Inlet Steam Flow_health;Outlet Steam Flow_health;Casing Temperature_health;Bearing Wear_health;Pressure Control System Failure_health;Overheating_health;Blade Erosion_health;Misalignment of Rotating Components_health;Debris Accumulation on Blades_health;Turbine_health
29/10/2024 00:00;68,45;90;3,2;3,5;2,51;34,9;10,09;9,79;51,94;0,9814;0,4967;1;1;1;1;1;1;0,9353;1;0,7483;0,9022;0,913;1;1;0,9273
29/10/2024 00:01;68,45;90,0042;3,2;3,51;2,5;35,01;10,1;9,81;52,02;0,9918;0,4933;1;1;1;1;1;1;0,9326;1;0,7467;0,903;0,9142;1;1;0,9273
29/10/2024 00:02;68,49;90,0084;3,2;3,5;2,5;35,01;10,11;9,81;51,96;0,9936;0,4978;1;1;1;1;1;1;0,9348;1;0,7489;0,9044;0,9152;1;1;0,9281
29/10/2024 00:03;68,54;90,0126;3,2;3,5;2,51;34,89;10,1;9,81;52,03;0,9912;0,498;1;1;1;1;1;1;0,9324;1;0,749;0,9036;0,9149;1;1;0,9279
29/10/2024 00:04;68,57;90,0168;3,19;3,51;2,5;34,91;10,08;9,79;51,99;0,9926;0,5004;1;1;1;1;1;1;0,9337;1;0,7502;0,9045;0,9155;1;1;0,9284
29/10/2024 00:05;68,6;90,021;3,21;3,5;2,51;34,87;10,1;9,81;52,04;0,9972;0,5062;1;1;1;1;1;1;0,932;1;0,7531;0,9059;0,9172;1;1;0,9294
29/10/2024 00:06;68,66;90,0252;3,2;3,5;2,5;34,96;10,08;9,8;51,99;0,9893;0,502;1;1;1;1;1;1;0,9336;1;0,751;0,9041;0,9152;1;1;0,9284
29/10/2024 00:07;68,64;90,0294;3,21;3,51;2,5;34,98;10,09;9,81;51,99;1;0,4889;1;1;1;1;1;1;0,9336;1;0,7445;0,9038;0,9148;1;1;0,9272
29/10/2024 00:08;68,74;90,0336;3,21;3,49;2,51;34,97;10,1;9,79;52,15;0,9912;0,5094;1;1;1;1;1;1;0,9283;1;0,7547;0,9048;0,9168;1;1;0,9294
29/10/2024 00:09;68,7;90,0378;3,22;3,51;2,5;35,12;10,11;9,8;52,03;1;0,5045;1;1;1;1;1;1;0,9323;1;0,7523;0,9061;0,9174;1;1;0,9293
